"especie_ave","zona_ecologica","tamano_promedio_cm","color_dominante","actividad_predominante","numero_vocalizaciones","franja_horaria_activa","tipo_alimentacion","duracion_canto_seg","numero_avistamientos" 
"mosquero tropical","urbana",13.3,"amarillo","alimentación",6,"mediodía","insectos",1.1,8
"pinzón costero","agrícola",10.2,"amarillo","vuelo",3,"mañana","néctar",4.3,6
"reinita amarilla","bosque seco",10.8,"amarillo","canto",12,"tarde","semillas",13.4,4
"mosquero tropical","manglar",11.6,"amarillo","alimentación",10,"mañana","frutas",1.3,4
"tordo renegrido","bosque seco",10.4,"marrón","canto",18,"mediodía","semillas",11.4,7
"reinita amarilla","bosque seco",11.6,"blanco","alimentación",2,"tarde","insectos",8.9,6
"reinita amarilla","manglar",11.6,"amarillo","canto",19,"mañana","frutas",5.9,9
"tordo renegrido","urbana",11.3,"verde","vuelo",1,"mañana","néctar",4.5,4
"pinzón costero","agrícola",9.3,"blanco","alimentación",12,"mañana","semillas",7.1,4
"reinita amarilla","manglar",9.1,"verde","alimentación",10,"tarde","semillas",1,6
"pinzón costero","manglar",13.8,"blanco","canto",36,"mediodía","semillas",35.6,6
"colibrí esmeralda","agrícola",14.9,"verde","canto",18,"tarde","frutas",9.2,8
"reinita amarilla","agrícola",14.2,"amarillo","canto",13,"tarde","frutas",18.5,5
"mosquero tropical","manglar",14.6,"verde","canto",7,"mañana","insectos",10.4,9
"mosquero tropical","bosque seco",11.5,"verde","alimentación",5,"mañana","insectos",1,3
"tordo renegrido","bosque seco",13.6,"negro","vuelo",6,"mediodía","frutas",4.1,7
"pinzón costero","agrícola",11.4,"negro","canto",18,"mediodía","néctar",14.7,8
"reinita amarilla","urbana",14.8,"verde","reposo",7,"tarde","insectos",3.3,17
"colibrí esmeralda","manglar",8.8,"gris","alimentación",3,"mañana","néctar",6,10
"pinzón costero","bosque seco",9.7,"amarillo","canto",16,"mañana","insectos",21,3
"reinita amarilla","manglar",9.9,"marrón","reposo",7,"mañana","frutas",1,4
"tordo renegrido","bosque seco",11.1,"negro","reposo",2,"tarde","néctar",1.6,2
"colibrí esmeralda","bosque seco",11.6,"gris","vuelo",6,"mañana","frutas",1.5,7
"mosquero tropical","manglar",12.4,"amarillo","alimentación",4,"mediodía","insectos",6.9,11
"colibrí esmeralda","manglar",11.8,"negro","vuelo",7,"tarde","néctar",1,4
"colibrí esmeralda","urbana",13,"negro","canto",12,"mediodía","néctar",13.8,9
"mosquero tropical","agrícola",9.3,"verde","alimentación",13,"tarde","frutas",7.9,6
"colibrí esmeralda","agrícola",11.4,"blanco","canto",21,"mañana","frutas",12.3,5
"tordo renegrido","bosque seco",15.8,"verde","reposo",5,"tarde","néctar",9.3,4
"pinzón costero","agrícola",10.5,"verde","reposo",3,"tarde","néctar",1,8
"colibrí esmeralda","manglar",8.5,"blanco","alimentación",5,"mañana","semillas",9.4,3
"tordo renegrido","manglar",10.9,"marrón","reposo",5,"tarde","frutas",5.1,2
"tordo renegrido","agrícola",13.5,"verde","vuelo",5,"mediodía","insectos",1.6,4
"tordo renegrido","bosque seco",12.9,"marrón","reposo",5,"tarde","semillas",1,5
"pinzón costero","agrícola",10.7,"amarillo","alimentación",8,"tarde","insectos",1.1,8
"colibrí esmeralda","bosque seco",11.1,"verde","reposo",2,"tarde","semillas",4.4,5
"colibrí esmeralda","agrícola",11.6,"verde","canto",20,"mediodía","frutas",11.2,6
"tordo renegrido","bosque seco",13.7,"verde","reposo",3,"mediodía","néctar",6.5,4
"colibrí esmeralda","bosque seco",11.3,"verde","canto",12,"mañana","insectos",8.3,5
"mosquero tropical","bosque seco",12.2,"blanco","canto",13,"tarde","néctar",9.5,11
"mosquero tropical","agrícola",12.9,"verde","canto",16,"mañana","néctar",10.1,5
"colibrí esmeralda","urbana",12.9,"amarillo","vuelo",5,"mañana","néctar",2.2,10
"mosquero tropical","urbana",12.8,"amarillo","alimentación",9,"mañana","néctar",1,7
"reinita amarilla","agrícola",11.1,"gris","canto",17,"tarde","frutas",12,8
"colibrí esmeralda","urbana",12.1,"gris","reposo",2,"mediodía","semillas",5.8,10
"pinzón costero","manglar",11.8,"negro","canto",15,"tarde","semillas",11.6,4
"colibrí esmeralda","manglar",11.5,"negro","vuelo",3,"mañana","semillas",6.1,6
"tordo renegrido","manglar",9.4,"negro","vuelo",7,"tarde","semillas",1,6
"mosquero tropical","bosque seco",12.8,"amarillo","canto",14,"mediodía","semillas",14.2,6
"reinita amarilla","bosque seco",7.9,"blanco","alimentación",5,"mediodía","néctar",1,3
"pinzón costero","manglar",9.9,"marrón","canto",6,"mediodía","insectos",11.6,7
"colibrí esmeralda","agrícola",11.2,"verde","alimentación",4,"mediodía","semillas",4.9,5
"tordo renegrido","manglar",10,"verde","alimentación",7,"tarde","semillas",5.7,6
"colibrí esmeralda","manglar",12.8,"negro","reposo",6,"mañana","semillas",1,5
"pinzón costero","urbana",11,"gris","alimentación",2,"mediodía","semillas",6,10
"pinzón costero","urbana",10.3,"gris","alimentación",11,"mediodía","insectos",2.1,13
"reinita amarilla","agrícola",12.8,"gris","reposo",5,"tarde","néctar",7.7,11
"tordo renegrido","agrícola",10.4,"negro","canto",11,"mediodía","semillas",8.8,2
"tordo renegrido","urbana",13.6,"gris","alimentación",4,"tarde","frutas",1,7
"tordo renegrido","bosque seco",10.8,"marrón","reposo",8,"mañana","insectos",3.8,12
"reinita amarilla","urbana",12.3,"negro","alimentación",0,"tarde","frutas",4.2,10
"reinita amarilla","urbana",6.9,"amarillo","alimentación",6,"mediodía","néctar",2.4,16
"mosquero tropical","agrícola",14.8,"blanco","reposo",1,"mañana","insectos",4.8,3
"pinzón costero","manglar",11.8,"negro","canto",12,"tarde","semillas",6,5
"tordo renegrido","manglar",12.1,"negro","vuelo",4,"tarde","semillas",9.7,5
"mosquero tropical","agrícola",10.5,"gris","canto",19,"mediodía","néctar",12.9,6
"tordo renegrido","manglar",12.3,"amarillo","canto",14,"mañana","semillas",10.8,5
"pinzón costero","manglar",13.9,"blanco","alimentación",5,"mañana","insectos",2.3,4
"mosquero tropical","agrícola",14.1,"verde","alimentación",1,"mediodía","frutas",6.8,8
"colibrí esmeralda","agrícola",15.7,"marrón","vuelo",7,"mediodía","semillas",1,7
"colibrí esmeralda","manglar",12.9,"blanco","reposo",4,"mañana","néctar",2.8,3
"colibrí esmeralda","manglar",16.2,"marrón","canto",17,"mañana","semillas",20.5,5
"colibrí esmeralda","bosque seco",12.8,"marrón","reposo",8,"mañana","frutas",2,5
"reinita amarilla","bosque seco",9.1,"amarillo","canto",13,"tarde","semillas",9.5,4
"reinita amarilla","agrícola",12.1,"gris","alimentación",2,"tarde","frutas",1,5
"reinita amarilla","bosque seco",11,"gris","vuelo",8,"mañana","néctar",3.1,5
"mosquero tropical","bosque seco",12.2,"gris","vuelo",1,"tarde","frutas",8.2,9
"mosquero tropical","bosque seco",11.3,"amarillo","canto",19,"mañana","semillas",9.9,6
"reinita amarilla","manglar",11.4,"amarillo","vuelo",8,"tarde","frutas",6.6,9
"mosquero tropical","manglar",11.2,"negro","reposo",4,"mediodía","semillas",2,7
"reinita amarilla","manglar",14.5,"verde","alimentación",4,"mañana","frutas",4.8,3
"colibrí esmeralda","agrícola",11,"blanco","reposo",6,"mañana","insectos",7,8
"mosquero tropical","agrícola",11,"negro","canto",17,"mañana","insectos",11.4,5
"reinita amarilla","urbana",9.4,"negro","canto",13,"tarde","frutas",14.1,10
"pinzón costero","manglar",11.9,"marrón","canto",20,"mediodía","semillas",9.5,5
"reinita amarilla","agrícola",12.6,"gris","vuelo",6,"tarde","néctar",1.8,8
"pinzón costero","agrícola",12.5,"verde","vuelo",4,"tarde","insectos",2.9,6
"reinita amarilla","urbana",13.6,"amarillo","reposo",11,"mediodía","semillas",1.7,14
"tordo renegrido","manglar",10.4,"amarillo","alimentación",2,"mañana","semillas",10.5,5
"reinita amarilla","urbana",9,"verde","alimentación",5,"tarde","frutas",7.2,5
"tordo renegrido","agrícola",9.5,"gris","alimentación",6,"mediodía","semillas",5.4,8
"reinita amarilla","bosque seco",10,"marrón","alimentación",3,"mañana","insectos",5.1,2
"colibrí esmeralda","urbana",8.5,"gris","alimentación",6,"mediodía","semillas",3.1,7
"reinita amarilla","agrícola",12.6,"blanco","canto",21,"mediodía","frutas",13.6,10
"tordo renegrido","bosque seco",8.4,"marrón","alimentación",7,"tarde","semillas",8.8,4
"colibrí esmeralda","manglar",11.2,"marrón","canto",13,"mañana","néctar",14.3,8
"pinzón costero","manglar",12.3,"negro","vuelo",5,"mañana","semillas",2.7,5
"reinita amarilla","urbana",14.2,"marrón","reposo",5,"mañana","semillas",9.9,14
"pinzón costero","agrícola",11.4,"negro","alimentación",3,"tarde","frutas",2,6
"tordo renegrido","agrícola",12.7,"negro","canto",15,"mediodía","néctar",11,7
"pinzón costero","bosque seco",16.3,"negro","canto",14,"mediodía","néctar",11.8,5
"colibrí esmeralda","agrícola",10.3,"blanco","alimentación",2,"mañana","semillas",3.2,5
"pinzón costero","agrícola",8.3,"amarillo","reposo",7,"tarde","frutas",10.2,5
"mosquero tropical","urbana",13.1,"negro","alimentación",4,"mañana","frutas",4.1,10
"reinita amarilla","bosque seco",7.8,"verde","alimentación",3,"mañana","frutas",9.7,8
"reinita amarilla","bosque seco",11.4,"gris","canto",51,"tarde","néctar",34.3,3
"reinita amarilla","agrícola",13.1,"marrón","vuelo",6,"tarde","néctar",3.6,4
"tordo renegrido","agrícola",11.1,"blanco","alimentación",3,"mediodía","néctar",1,5
"pinzón costero","urbana",12.8,"marrón","alimentación",4,"mediodía","frutas",9.3,9
"mosquero tropical","urbana",9.8,"verde","canto",16,"mañana","semillas",14.6,5
"tordo renegrido","bosque seco",12.4,"marrón","canto",18,"tarde","frutas",10.7,2
"colibrí esmeralda","bosque seco",13.2,"blanco","reposo",5,"mediodía","néctar",7.7,5
"mosquero tropical","manglar",15.7,"gris","vuelo",7,"mediodía","insectos",4,6
"pinzón costero","manglar",11.2,"amarillo","alimentación",3,"tarde","néctar",1,11
"reinita amarilla","urbana",12.7,"negro","reposo",5,"mañana","frutas",1,7
"pinzón costero","manglar",17.6,"negro","canto",13,"mañana","néctar",19,9
"mosquero tropical","urbana",10.6,"gris","canto",19,"tarde","insectos",12.7,7
"reinita amarilla","agrícola",8.9,"amarillo","vuelo",5,"mañana","frutas",4.9,8
"tordo renegrido","bosque seco",11.3,"negro","reposo",5,"mañana","frutas",5,4
"tordo renegrido","urbana",8.6,"negro","vuelo",14,"tarde","semillas",3.1,7
"colibrí esmeralda","bosque seco",11.4,"gris","vuelo",4,"mediodía","semillas",1,6
"tordo renegrido","bosque seco",11.8,"amarillo","alimentación",6,"tarde","semillas",2.2,6
"pinzón costero","agrícola",10.3,"amarillo","reposo",3,"mañana","semillas",1,9
"mosquero tropical","agrícola",11.2,"amarillo","vuelo",7,"mediodía","insectos",6.1,4
"reinita amarilla","agrícola",7.2,"blanco","reposo",4,"mañana","néctar",5.3,8
"mosquero tropical","agrícola",7.6,"blanco","reposo",4,"mediodía","insectos",6.2,2
"colibrí esmeralda","manglar",12.1,"verde","reposo",2,"tarde","néctar",2.8,14
"pinzón costero","agrícola",9.3,"negro","reposo",8,"tarde","frutas",6.7,3
"pinzón costero","agrícola",11.1,"amarillo","alimentación",2,"tarde","insectos",1.8,6
"reinita amarilla","manglar",9.1,"amarillo","canto",19,"tarde","néctar",15.7,6
"tordo renegrido","bosque seco",12.1,"amarillo","vuelo",3,"mañana","néctar",10.6,8
"reinita amarilla","agrícola",8.9,"verde","alimentación",2,"mañana","insectos",6.3,4
"pinzón costero","bosque seco",11,"negro","canto",12,"mañana","semillas",12.2,12
"tordo renegrido","agrícola",11.2,"marrón","alimentación",8,"mediodía","frutas",1,7
"colibrí esmeralda","manglar",11.3,"negro","vuelo",10,"tarde","semillas",2.4,9
"colibrí esmeralda","agrícola",10.6,"negro","reposo",6,"mediodía","semillas",2.7,1
"colibrí esmeralda","bosque seco",10.9,"blanco","reposo",2,"mañana","insectos",4.8,6
"colibrí esmeralda","urbana",10.9,"verde","reposo",5,"tarde","néctar",3.3,13
"mosquero tropical","urbana",11.7,"blanco","vuelo",5,"mediodía","néctar",6.4,14
"colibrí esmeralda","agrícola",11.3,"verde","vuelo",7,"tarde","insectos",1,5
"mosquero tropical","manglar",13.9,"gris","vuelo",3,"tarde","insectos",6.7,4
"tordo renegrido","agrícola",10,"marrón","reposo",3,"mediodía","frutas",6.4,7
"tordo renegrido","agrícola",11.1,"amarillo","vuelo",2,"mediodía","semillas",5.8,7
"pinzón costero","urbana",13.5,"verde","reposo",1,"mañana","insectos",9.5,11
"colibrí esmeralda","manglar",13.1,"gris","reposo",7,"mediodía","frutas",6.9,6
"tordo renegrido","bosque seco",15.6,"marrón","reposo",2,"tarde","frutas",5,6
"reinita amarilla","bosque seco",8.1,"blanco","vuelo",4,"tarde","néctar",1,8
"reinita amarilla","bosque seco",14.9,"marrón","alimentación",5,"mañana","insectos",1,6
"mosquero tropical","bosque seco",7.8,"verde","vuelo",3,"mañana","néctar",10.6,4
"tordo renegrido","bosque seco",14.7,"amarillo","reposo",3,"tarde","néctar",4.9,10
"colibrí esmeralda","agrícola",12,"amarillo","canto",17,"mañana","semillas",7.1,5
"tordo renegrido","bosque seco",10.8,"marrón","reposo",5,"mediodía","néctar",6.2,8
"mosquero tropical","agrícola",12.4,"verde","alimentación",4,"mañana","semillas",1.4,3
"mosquero tropical","agrícola",13.5,"marrón","canto",19,"tarde","néctar",9.6,3
"colibrí esmeralda","agrícola",10.1,"negro","reposo",4,"mañana","insectos",1,7
"colibrí esmeralda","agrícola",11.4,"negro","vuelo",1,"mañana","néctar",4.7,4
"reinita amarilla","agrícola",14.1,"marrón","alimentación",6,"tarde","néctar",7.9,6
"colibrí esmeralda","manglar",8.3,"marrón","alimentación",6,"tarde","insectos",5.7,6
"reinita amarilla","bosque seco",13.2,"amarillo","reposo",7,"mediodía","insectos",6.9,6
"pinzón costero","bosque seco",11.9,"verde","reposo",6,"mediodía","insectos",7.2,4
"colibrí esmeralda","manglar",12.5,"amarillo","alimentación",8,"mediodía","frutas",3.6,6
"reinita amarilla","bosque seco",10.2,"verde","reposo",2,"mediodía","néctar",1,7
"colibrí esmeralda","agrícola",11.5,"negro","alimentación",20,"tarde","frutas",9.9,9
"reinita amarilla","bosque seco",13.7,"marrón","vuelo",7,"mañana","frutas",1.1,4
"colibrí esmeralda","manglar",13,"blanco","reposo",8,"tarde","semillas",3,9
"reinita amarilla","agrícola",14.3,"blanco","alimentación",4,"tarde","frutas",6.2,5
"colibrí esmeralda","manglar",10.5,"blanco","alimentación",6,"mañana","néctar",8.5,6
"tordo renegrido","urbana",10.6,"gris","canto",24,"mediodía","frutas",7.3,7
"colibrí esmeralda","agrícola",10.5,"gris","vuelo",3,"tarde","semillas",1,4
"mosquero tropical","manglar",9.3,"marrón","reposo",3,"tarde","néctar",1.1,13
"colibrí esmeralda","manglar",10,"gris","alimentación",8,"mañana","semillas",1.5,6
"colibrí esmeralda","urbana",12.2,"amarillo","canto",7,"tarde","frutas",12.3,15
"mosquero tropical","agrícola",11.2,"marrón","canto",21,"tarde","semillas",11.1,5
"reinita amarilla","agrícola",10.3,"verde","alimentación",4,"tarde","néctar",7.6,8
"mosquero tropical","manglar",13.4,"amarillo","reposo",4,"tarde","néctar",1.9,6
"mosquero tropical","urbana",10.7,"marrón","reposo",8,"mañana","semillas",1.7,5
"colibrí esmeralda","manglar",12.6,"amarillo","vuelo",6,"mañana","insectos",1.6,7
"pinzón costero","agrícola",10.2,"marrón","canto",15,"mañana","néctar",15.5,8
"reinita amarilla","bosque seco",16,"verde","alimentación",32,"mañana","frutas",10,10
"colibrí esmeralda","urbana",11.5,"amarillo","vuelo",8,"mediodía","néctar",3.3,14
"reinita amarilla","urbana",12.2,"blanco","vuelo",5,"tarde","semillas",1,5
"colibrí esmeralda","agrícola",7.8,"marrón","reposo",5,"tarde","néctar",4.9,5
"pinzón costero","agrícola",8.4,"blanco","reposo",4,"mediodía","néctar",6.9,4
"colibrí esmeralda","manglar",12.6,"marrón","reposo",2,"tarde","semillas",4.1,3
"tordo renegrido","bosque seco",12.5,"blanco","alimentación",5,"mediodía","semillas",1,8
"colibrí esmeralda","manglar",12.7,"amarillo","vuelo",2,"mediodía","semillas",2.2,4
"mosquero tropical","bosque seco",10.6,"negro","canto",18,"mañana","frutas",15.7,7
"pinzón costero","agrícola",12.2,"verde","vuelo",4,"tarde","frutas",5.6,3
"colibrí esmeralda","bosque seco",9.6,"blanco","vuelo",6,"tarde","néctar",5.4,3
"tordo renegrido","agrícola",9.1,"amarillo","alimentación",5,"mañana","insectos",1,1
"tordo renegrido","urbana",12.1,"negro","reposo",6,"mediodía","néctar",2.8,10
"mosquero tropical","manglar",16.5,"gris","alimentación",2,"mañana","insectos",1.1,10
"colibrí esmeralda","bosque seco",14.3,"amarillo","canto",15,"tarde","frutas",13.4,7
"mosquero tropical","agrícola",10.3,"verde","alimentación",4,"tarde","semillas",7.6,3
"pinzón costero","manglar",14.4,"blanco","alimentación",3,"mañana","insectos",10.7,6
"reinita amarilla","bosque seco",11.1,"marrón","reposo",7,"mediodía","néctar",1,6
"reinita amarilla","agrícola",10.7,"marrón","canto",20,"tarde","néctar",11.1,6
"reinita amarilla","bosque seco",13.1,"verde","vuelo",2,"mediodía","insectos",9,2
"pinzón costero","urbana",10.5,"negro","canto",18,"mañana","semillas",11.6,11
"reinita amarilla","bosque seco",7.6,"verde","vuelo",1,"mañana","insectos",7.4,3
"tordo renegrido","manglar",12.8,"negro","reposo",4,"mediodía","frutas",3.1,4
"mosquero tropical","manglar",12.4,"marrón","alimentación",7,"mañana","insectos",5.2,3
"mosquero tropical","manglar",10,"marrón","reposo",6,"tarde","semillas",4.5,9
"colibrí esmeralda","bosque seco",14.8,"blanco","canto",15,"mañana","néctar",15.2,8
"tordo renegrido","manglar",14.2,"blanco","canto",11,"mediodía","insectos",11.5,13
"pinzón costero","urbana",9.6,"amarillo","canto",21,"mañana","frutas",13.4,12
"pinzón costero","bosque seco",12.2,"amarillo","alimentación",7,"mediodía","frutas",3.6,3
"pinzón costero","bosque seco",10.7,"blanco","vuelo",4,"mañana","néctar",3.8,7
"tordo renegrido","manglar",13.5,"gris","reposo",2,"mediodía","néctar",1.9,3
"colibrí esmeralda","manglar",14.4,"amarillo","alimentación",3,"mediodía","semillas",1,11
"mosquero tropical","manglar",16.2,"verde","vuelo",4,"mañana","insectos",4.7,6
"reinita amarilla","bosque seco",12.3,"blanco","canto",8,"mañana","semillas",11.4,4
"pinzón costero","bosque seco",16.5,"amarillo","canto",11,"mañana","frutas",13.5,7
"colibrí esmeralda","agrícola",17.3,"blanco","alimentación",4,"tarde","semillas",1,7
"mosquero tropical","bosque seco",16.7,"blanco","alimentación",7,"mañana","frutas",1,5
"tordo renegrido","manglar",12.1,"verde","vuelo",6,"mañana","néctar",5.1,9
"mosquero tropical","manglar",13.2,"blanco","reposo",4,"mediodía","semillas",3.4,2
"tordo renegrido","urbana",14.5,"blanco","vuelo",7,"mañana","frutas",5.9,8
"mosquero tropical","agrícola",11.7,"verde","alimentación",6,"tarde","néctar",1,8
"reinita amarilla","urbana",12.4,"marrón","reposo",4,"mediodía","néctar",3.6,10
"tordo renegrido","manglar",15.2,"blanco","vuelo",2,"mediodía","frutas",1.7,10
"mosquero tropical","bosque seco",12.4,"verde","canto",16,"tarde","semillas",10.6,2
"tordo renegrido","urbana",11.7,"marrón","reposo",6,"tarde","frutas",1.3,5
"mosquero tropical","bosque seco",15.6,"gris","canto",18,"tarde","semillas",11.7,4
"colibrí esmeralda","manglar",10.9,"gris","canto",14,"mañana","néctar",10.6,11
"mosquero tropical","urbana",16.2,"blanco","vuelo",8,"mediodía","néctar",2.7,9
"colibrí esmeralda","urbana",13.1,"gris","canto",10,"tarde","néctar",15.2,10
"tordo renegrido","urbana",11.7,"gris","reposo",7,"mediodía","frutas",5.6,8
"colibrí esmeralda","bosque seco",13.4,"gris","reposo",7,"mañana","semillas",2.4,11
"tordo renegrido","bosque seco",13.9,"verde","vuelo",5,"mañana","semillas",2.8,14
"mosquero tropical","agrícola",14.7,"blanco","vuelo",12,"mañana","insectos",1,7
"mosquero tropical","bosque seco",9.6,"amarillo","reposo",5,"mediodía","semillas",4.1,4
"colibrí esmeralda","urbana",13.6,"marrón","alimentación",3,"tarde","frutas",3.3,13
"pinzón costero","manglar",10,"negro","reposo",9,"tarde","insectos",1,5
"colibrí esmeralda","agrícola",12.7,"amarillo","canto",17,"tarde","frutas",12,8
"pinzón costero","manglar",13.4,"blanco","reposo",6,"mediodía","néctar",4.2,8
"pinzón costero","urbana",10.5,"blanco","alimentación",2,"tarde","frutas",1,11
"colibrí esmeralda","manglar",10.3,"verde","alimentación",1,"tarde","semillas",1.9,5
"tordo renegrido","bosque seco",10.8,"negro","canto",11,"mediodía","néctar",13.1,9
"pinzón costero","bosque seco",12.3,"amarillo","reposo",2,"tarde","insectos",9,11
"tordo renegrido","agrícola",8.6,"blanco","reposo",7,"mañana","néctar",4.3,5
"mosquero tropical","bosque seco",16.7,"negro","vuelo",7,"tarde","frutas",8.4,5
"pinzón costero","urbana",11.7,"marrón","vuelo",4,"mañana","frutas",1.9,14
"pinzón costero","bosque seco",12.7,"marrón","canto",15,"tarde","semillas",11.6,6
"reinita amarilla","urbana",12.3,"marrón","vuelo",2,"tarde","néctar",1,10
"pinzón costero","urbana",10,"verde","reposo",7,"tarde","insectos",4.4,9
"pinzón costero","urbana",14.9,"blanco","vuelo",4,"mediodía","semillas",1.1,17
"tordo renegrido","manglar",11.6,"amarillo","canto",17,"mediodía","néctar",7.5,7
"pinzón costero","bosque seco",14.9,"gris","reposo",5,"mañana","semillas",1,8
"colibrí esmeralda","agrícola",15.4,"negro","reposo",5,"mañana","insectos",5.6,6
"pinzón costero","bosque seco",10.8,"amarillo","canto",25,"mediodía","néctar",10.7,7
"pinzón costero","manglar",12.7,"amarillo","vuelo",2,"mañana","néctar",7.7,5
"colibrí esmeralda","bosque seco",11.8,"verde","vuelo",3,"mediodía","néctar",3.2,6
"colibrí esmeralda","urbana",10.7,"blanco","canto",14,"tarde","néctar",12.1,10
"pinzón costero","urbana",11.7,"marrón","reposo",4,"tarde","néctar",1.5,9
"pinzón costero","urbana",8.5,"negro","alimentación",2,"mañana","semillas",1,6
"reinita amarilla","urbana",10.3,"amarillo","canto",15,"tarde","néctar",8.2,9
"colibrí esmeralda","bosque seco",13,"verde","canto",20,"tarde","frutas",13.5,9
"pinzón costero","bosque seco",10.5,"blanco","canto",15,"mañana","semillas",11.8,11
"tordo renegrido","bosque seco",8.2,"blanco","canto",10,"mañana","frutas",11,6
"reinita amarilla","bosque seco",13.8,"gris","reposo",4,"mañana","frutas",6.5,2
"reinita amarilla","agrícola",10.4,"gris","vuelo",9,"mediodía","frutas",3.2,3
"reinita amarilla","urbana",13.3,"gris","canto",8,"mañana","frutas",12.3,17
"mosquero tropical","agrícola",11.9,"blanco","canto",14,"tarde","insectos",18.2,4
"mosquero tropical","bosque seco",12.3,"gris","canto",14,"mañana","néctar",7,9
"tordo renegrido","agrícola",9.9,"amarillo","canto",12,"mañana","insectos",12.3,2
"mosquero tropical","agrícola",9.8,"blanco","reposo",6,"mañana","semillas",7.3,6
"tordo renegrido","agrícola",8.7,"marrón","canto",14,"mediodía","frutas",14.2,7
"pinzón costero","manglar",13.9,"negro","alimentación",10,"tarde","semillas",1,5
"mosquero tropical","manglar",13.9,"amarillo","alimentación",7,"tarde","semillas",7.7,7
"mosquero tropical","urbana",13.8,"amarillo","vuelo",2,"mañana","semillas",3.2,5
"pinzón costero","manglar",8,"blanco","reposo",6,"mañana","insectos",1.9,5
"reinita amarilla","manglar",9.7,"gris","canto",13,"mañana","néctar",13.9,1
"colibrí esmeralda","urbana",14.4,"negro","canto",9,"tarde","semillas",12.6,8
"reinita amarilla","urbana",13.1,"negro","reposo",7,"tarde","frutas",7.2,15
"colibrí esmeralda","bosque seco",12,"amarillo","vuelo",5,"mañana","néctar",7.1,7
"colibrí esmeralda","manglar",11.8,"negro","reposo",5,"mediodía","néctar",10.6,4
"tordo renegrido","agrícola",12.7,"verde","alimentación",6,"mañana","néctar",4.9,3
"mosquero tropical","manglar",11.4,"verde","canto",21,"mediodía","semillas",14.1,2
"pinzón costero","agrícola",9.4,"blanco","alimentación",8,"tarde","frutas",5.2,8
"pinzón costero","bosque seco",14.1,"gris","reposo",4,"tarde","semillas",9.3,8
"pinzón costero","manglar",11.6,"amarillo","vuelo",4,"tarde","insectos",2.9,9
"mosquero tropical","manglar",11.1,"verde","alimentación",4,"mañana","frutas",1.3,5
"colibrí esmeralda","manglar",11,"negro","vuelo",5,"tarde","néctar",1,8
"reinita amarilla","urbana",8.3,"negro","vuelo",10,"mañana","semillas",7.3,13
"pinzón costero","urbana",12.2,"negro","alimentación",7,"mañana","frutas",8.8,4
"reinita amarilla","manglar",13.9,"blanco","canto",15,"mediodía","semillas",10.4,7
"colibrí esmeralda","urbana",13.9,"gris","canto",12,"tarde","néctar",9.8,7
"colibrí esmeralda","manglar",15.3,"gris","reposo",7,"mediodía","néctar",2.3,6
"pinzón costero","agrícola",11.7,"marrón","alimentación",5,"tarde","néctar",2.2,11
"tordo renegrido","bosque seco",9.7,"blanco","reposo",5,"mediodía","frutas",1,8
"pinzón costero","manglar",10.6,"amarillo","canto",14,"mañana","semillas",11.6,3
"reinita amarilla","agrícola",11.1,"blanco","canto",12,"mediodía","frutas",11.5,5
"reinita amarilla","manglar",13.2,"verde","canto",12,"mañana","néctar",9.1,2
"tordo renegrido","manglar",11.8,"negro","canto",16,"mediodía","frutas",11.8,6
"reinita amarilla","urbana",15.6,"gris","vuelo",8,"mañana","semillas",1,12
"mosquero tropical","urbana",13.7,"gris","alimentación",5,"mediodía","frutas",2.1,12
"tordo renegrido","agrícola",11.4,"amarillo","canto",23,"tarde","semillas",13,7
"tordo renegrido","agrícola",11,"amarillo","canto",20,"mediodía","insectos",16.7,7
"pinzón costero","bosque seco",15.2,"amarillo","reposo",3,"tarde","insectos",3.3,10
"mosquero tropical","urbana",9.8,"verde","reposo",1,"tarde","néctar",5.4,8
"tordo renegrido","urbana",15.2,"blanco","canto",15,"mediodía","semillas",9.1,4
"tordo renegrido","agrícola",9.4,"marrón","vuelo",9,"mediodía","insectos",22.9,3
"tordo renegrido","bosque seco",11.3,"gris","vuelo",6,"tarde","semillas",8.6,5
"colibrí esmeralda","urbana",10.8,"verde","alimentación",9,"tarde","insectos",3.2,14
"pinzón costero","agrícola",13.5,"gris","alimentación",5,"mañana","semillas",4,2
"reinita amarilla","manglar",12.1,"verde","vuelo",4,"tarde","semillas",6.4,1
"reinita amarilla","urbana",15,"amarillo","canto",13,"mañana","néctar",9.6,8
"colibrí esmeralda","agrícola",10.3,"blanco","reposo",4,"mediodía","néctar",1,10
"tordo renegrido","urbana",10.7,"verde","canto",15,"mañana","insectos",16.5,15
"colibrí esmeralda","agrícola",12.1,"negro","reposo",2,"mañana","insectos",4.4,4
"reinita amarilla","agrícola",12.4,"marrón","reposo",4,"mediodía","semillas",3.1,6
"mosquero tropical","agrícola",10.5,"negro","canto",16,"mañana","frutas",7.8,7
"colibrí esmeralda","bosque seco",13,"amarillo","vuelo",5,"mañana","insectos",4.5,6
"tordo renegrido","agrícola",14.9,"blanco","alimentación",2,"tarde","frutas",5.5,7
"reinita amarilla","manglar",13.3,"negro","reposo",2,"mediodía","néctar",3.3,9
"pinzón costero","bosque seco",14.2,"amarillo","reposo",8,"mañana","insectos",1.2,3
"colibrí esmeralda","bosque seco",9.1,"amarillo","canto",9,"mediodía","semillas",13.2,8
